label,experiment_directory,model,source_commit,completed_matches,planned_matches,match_completion_rate,runs_with_trace,trace_streams,match_trace_coverage,trace_records,agent_step_trace_records,agent_step_trace_records_complete,agent_step_trace_completeness_rate,decision_call_trace_records,decision_call_trace_records_complete,decision_call_trace_completeness_rate,unknown_trace_records,replay_linked_trace_records,replay_linkage_rate,llm_agent_trace_records,rule_player_trace_records,llm_agent_fallback_steps,llm_agent_fallback_rate,cache_steps,cache_step_rate,trace_llm_calls,trace_valid_llm_calls,trace_llm_validity_rate,trace_timeouts,trace_llm_errors,decision_log_records,decision_log_calls,decision_log_valid_calls,decision_log_validity_rate,raw_json_parseable_calls,raw_json_parse_rate,raw_schema_valid_calls,raw_schema_valid_rate,string_shorthand_normalizations,prefixed_key_normalizations,normalization_interventions,normalization_intervention_rate,action_fallback_steps,risk_filter_changed_steps,risk_filter_changed_step_rate,risk_filter_changed_targets,risk_filter_events,action_shape_valid_steps,action_shape_valid_rate,active_action_steps,active_actions,llm_latency_ms_mean,llm_latency_ms_median,llm_latency_ms_p95,llm_latency_ms_max,llm_win_rate_secondary
direct_prompt,10247430_qwen3_32b_direct_prompt_paired,qwen3:32b,354c30beb1a179904fc52b53a577fe09c0fbfdf1,100,100,1.0,100,200,1.0,104005,101721,101721,1.0,2284,2284,1.0,0,101721,1.0,50860,50861,48576,0.9550924105387337,0,0.0,2284,1966,0.8607705779334501,0,0,2284,2284,1966,0.8607705779334501,2284,1.0,1969,0.8620840630472855,315,0,315,0.13791593695271454,0,0,0.0,0,0,50860,1.0,37401,235696,4089.7542552539403,3448.083,6353.608,8493.084,0.48
dtav,10247431_qwen3_32b_dtav_paired,qwen3:32b,354c30beb1a179904fc52b53a577fe09c0fbfdf1,100,100,1.0,100,200,1.0,103932,101607,101607,1.0,2325,2325,1.0,0,101607,1.0,50803,50804,2833,0.05576442336082515,45645,0.8984705627620416,2325,2323,0.9991397849462366,0,0,2325,2325,2323,0.9991397849462366,2325,1.0,1767,0.76,558,0,558,0.24,0,5706,0.11231620179910635,29741,124020,50803,1.0,44726,283876,4009.6349204301077,3389.814,6368.995,7331.532,0.63
