label,experiment_directory,llm_calls,raw_schema_valid_calls,raw_schema_valid_rate,strict_schema_rejections_without_normalization,normalization_interventions,llm_agent_steps,risk_filter_changed_steps,risk_filter_changed_step_rate,risk_filter_changed_targets,mean_changed_targets_per_intervention_step,max_changed_targets_in_one_step
Qwen3-32B,9755477_qwen3_32b_paired,2286,1766,0.7725284339457568,520,520,50500,5590,0.1106930693069307,31128,5.568515205724508,16
DeepSeek-R1-32B,9756874_deepseek-r1_32b_paired,2305,2305,1.0,0,0,50500,7090,0.1403960396039604,34379,4.848942172073342,16
