label,experiment_directory,model,source_commit,completed_matches,planned_matches,match_completion_rate,runs_with_trace,match_trace_coverage,trace_records,agent_step_trace_records,agent_step_trace_records_complete,agent_step_trace_completeness_rate,decision_call_trace_records,decision_call_trace_records_complete,decision_call_trace_completeness_rate,unknown_trace_records,replay_linked_trace_records,replay_linkage_rate,llm_agent_trace_records,rule_player_trace_records,llm_agent_fallback_steps,llm_agent_fallback_rate,cache_steps,cache_step_rate,trace_llm_calls,trace_valid_llm_calls,trace_llm_validity_rate,trace_timeouts,trace_llm_errors,decision_log_records,decision_log_calls,decision_log_valid_calls,decision_log_validity_rate,raw_json_parseable_calls,raw_json_parse_rate,raw_schema_valid_calls,raw_schema_valid_rate,string_shorthand_normalizations,prefixed_key_normalizations,normalization_interventions,normalization_intervention_rate,action_fallback_steps,risk_filter_changed_steps,risk_filter_changed_step_rate,risk_filter_changed_targets,risk_filter_events,action_shape_valid_steps,action_shape_valid_rate,active_action_steps,active_actions,llm_latency_ms_mean,llm_latency_ms_median,llm_latency_ms_p95,llm_latency_ms_max,llm_win_rate_secondary,matched_seed_performance_secondary
Qwen3-32B,9755477_qwen3_32b_paired,qwen3:32b,ed1618b,100,100,1.0,100,1.0,103286,101000,101000,1.0,2286,2286,1.0,0,101000,1.0,50500,50500,2815,0.055742574257425744,45399,0.898990099009901,2286,2286,1.0,0,0,2286,2286,2286,1.0,2286,1.0,1766,0.7725284339457568,520,0,520,0.2274715660542432,0,5590,0.1106930693069307,31128,122586,50500,1.0,43865,282566,3516.3203425196853,3785.7185,4293.328,4816.5,0.63,
DeepSeek-R1-32B,9756874_deepseek-r1_32b_paired,deepseek-r1:32b,0f0c73e,100,100,1.0,100,1.0,103305,101000,101000,1.0,2305,2305,1.0,0,101000,1.0,50500,50500,2815,0.055742574257425744,45380,0.8986138613861386,2305,2305,1.0,0,0,2305,2305,2305,1.0,2305,1.0,2305,1.0,0,0,0,0.0,0,7090,0.1403960396039604,34379,151830,50500,1.0,49928,330625,3176.9538937093275,3508.597,3856.587,4191.54,0.6,"{'seeds_above_0_5': 16, 'seeds_equal_0_5': 28, 'seeds_below_0_5': 6, 'clustered_win_rate': 0.6, 'cluster_bootstrap_95_ci': [0.51, 0.69], 'exact_sign_pvalue_vs_0_5': 0.052478790283203125, 'bootstrap_iterations': 10000, 'bootstrap_seed': 42, 'independence_unit': 'matched Lux environment seed'}"
